cycle,name,location.x,location.y,location.z,name,type,id,color,line,connected,momentToConnect,neighbors,connected_neighbors,individual_chance_to_connect
764,,583.036913025484,757.384298392727,0,,EFH,167317710,"rgb (0, 255, 0,255)",nil,true,22,"[building(98),building(115)]","[building(98),building(115)]",0.105
764,,594.097299575007,766.027813001403,0,,EFH,167317711,"rgb (0, 255, 0,255)",nil,true,48,"[building(92),building(114)]","[building(114),building(92)]",0.105
764,,489.353610130725,673.076921221401,0,,SON,167317713,"rgb (0, 255, 0,255)",nil,true,7,"[building(102),building(119),building(107)]","[building(102),building(107),building(119)]",0.155
764,,124.955618132737,423.155691256214,0,,M-MG,167317715,"rgb (0, 255, 0,255)",nil,true,454,[],[],0.005
764,,276.17360470476,583.809719874756,0,,MFH,167317722,"rgb (0, 255, 0,255)",nil,true,98,[building(109)],[building(109)],0.055
764,,510.143518960467,698.339736525435,0,,EFH,167317723,"rgb (0, 255, 0,255)",nil,true,12,"[building(116),building(102),building(80)]","[building(116),building(102),building(80)]",0.155
764,TC-Hydraulik,636.064747604043,975.816224444391,0,TC-Hydraulik,SON,167317724,"rgb (0, 255, 0,255)",nil,true,65,"[building(66),building(134)]","[building(134),building(66)]",0.105
764,,367.039252259675,676.697719150782,0,,EFH,167319767,"rgb (0, 255, 0,255)",nil,true,32,"[building(85),building(131),building(60),building(130)]","[building(130),building(131),building(60),building(85)]",0.205
764,,438.700061262818,700.194844504353,0,,EFH,167319773,"rgb (0, 255, 0,255)",nil,true,28,[building(129)],[building(129)],0.055
764,,540.654799893178,792.935447291704,0,,EFH,167319776,"rgb (0, 255, 0,255)",nil,true,94,[building(124)],[building(124)],0.055
764,,532.297489121882,770.58495271001,0,,EFH,167319781,"rgb (0, 255, 0,255)",nil,true,82,"[building(127),building(123)]","[building(127),building(123)]",0.105
764,,482.134700180567,735.184012756497,0,,MFH,167319783,"rgb (0, 255, 0,255)",nil,true,15,"[building(128),building(127)]","[building(128),building(127)]",0.105
764,,433.662854304498,765.619646365754,0,,SON,167319784,"rgb (0, 255, 0,255)",nil,true,130,[],[],0.005
764,,503.788567529758,755.675072912127,0,,EFH,167319785,"rgb (0, 255, 0,255)",nil,true,44,"[building(124),building(125)]","[building(125),building(124)]",0.105
764,,466.94923737649,722.933367831477,0,,EFH,167319787,"rgb (0, 255, 0,255)",nil,true,5,[building(125)],[building(125)],0.055
764,,421.178373412013,694.935984735244,0,,EFH,167319789,"rgb (0, 255, 0,255)",nil,true,14,"[building(122),building(130)]","[building(130),building(122)]",0.105
764,,403.640782776804,678.279394467494,0,,EFH,167319790,"rgb (0, 255, 0,255)",nil,true,3,"[building(131),building(129),building(121)]","[building(129),building(131),building(121)]",0.155
764,,386.156148413592,666.661073671002,0,,EFH,167319793,"rgb (0, 255, 0,255)",nil,true,31,"[building(60),building(85),building(130),building(121)]","[building(130),building(121),building(60),building(85)]",0.205
764,,484.990416184475,330.203008210442,0,,MFH,331831162,"rgb (0, 255, 0,255)",nil,true,17,"[building(26),building(24)]","[building(24),building(26)]",0.105
764,,516.514611717244,398.275390285812,0,,MFH,331831170,"rgb (0, 255, 0,255)",nil,true,31,"[building(5),building(26)]","[building(5),building(26)]",0.105
764,,675.779963792564,1012.87903452432,0,,EFH,331831198,"rgb (0, 255, 0,255)",nil,true,64,[building(120)],[building(120)],0.055
764,,148.581228348247,340.714624979279,0,,SON,398472696,"rgb (0, 255, 0,255)",nil,true,57,[],[],0.005
764,,451.61534858474,467.607433127612,0,,MFH,398498093,"rgb (0, 255, 0,255)",nil,true,40,[building(29)],[building(29)],0.055
764,,408.46568756348,471.770608643256,0,,MFH,398498125,"rgb (0, 255, 0,255)",nil,true,10,"[building(29),building(22)]","[building(22),building(29)]",0.105
764,,361.625626394492,463.67312839308,0,,DHH,398519144,"rgb (0, 255, 0,255)",nil,true,41,"[building(146),building(19),building(1)]","[building(1),building(146),building(19)]",0.155
764,,396.899592470058,394.638294822304,0,,DHH,398519145,"rgb (0, 255, 0,255)",nil,true,75,"[building(10),building(18)]","[building(18),building(10)]",0.105
764,,356.974857096997,357.548869383289,0,,DHH,398519147,"rgb (0, 255, 0,255)",nil,true,98,"[building(11),building(13)]","[building(11),building(13)]",0.105
764,,398.959003049677,352.140277535422,0,,DHH,398519150,"rgb (0, 255, 0,255)",nil,true,47,"[building(10),building(28)]","[building(28),building(10)]",0.105
764,,353.629706398613,320.716142588761,0,,DHH,398519153,"rgb (0, 255, 0,255)",nil,true,82,"[building(13),building(21)]","[building(13),building(21)]",0.105
764,,395.950593810965,315.697592575569,0,,DHH,398519154,"rgb (0, 255, 0,255)",nil,true,29,"[building(28),building(20)]","[building(20),building(28)]",0.105
764,,353.54065080604,279.012135329889,0,,DHH,398519158,"rgb (0, 255, 0,255)",nil,true,133,[building(21)],[building(21)],0.055
764,,390.203725098865,276.41008717264,0,,DHH,398519160,"rgb (0, 255, 0,255)",nil,true,15,[building(20)],[building(20)],0.055
764,,363.158654810599,435.851733614225,0,,DHH,398519167,"rgb (0, 255, 0,255)",nil,true,52,"[building(138),building(19),building(16)]","[building(138),building(19),building(16)]",0.155
764,,400.506343971734,433.278278438374,0,,DHH,398519168,"rgb (0, 255, 0,255)",nil,true,12,"[building(18),building(22)]","[building(22),building(18)]",0.105
764,,361.355279059702,397.730261598015,0,,DHH,398519172,"rgb (0, 255, 0,255)",nil,true,40,"[building(11),building(16)]","[building(16),building(11)]",0.105
764,,518.891839443211,582.765611742623,0,,RH,398521169,"rgb (0, 255, 0,255)",nil,true,23,"[building(9),building(170),building(151)]","[building(9),building(151),building(170)]",0.155
764,,572.665117040426,588.219574068407,0,,RH,398521170,"rgb (0, 255, 0,255)",nil,true,25,"[building(3),building(171),building(152)]","[building(3),building(171),building(152)]",0.155
764,,523.617351827386,590.56193605531,0,,RH,398521171,"rgb (0, 255, 0,255)",nil,true,16,"[building(9),building(149),building(170)]","[building(9),building(149),building(170)]",0.155
764,,572.890141439682,598.30592839676,0,,RH,398521172,"rgb (0, 255, 0,255)",nil,true,30,"[building(171),building(3),building(150)]","[building(3),building(171),building(150)]",0.155
764,,538.099089917106,615.821847239975,0,,RH,398521173,"rgb (0, 255, 0,255)",nil,true,0,"[building(9),building(84),building(155),building(158)]","[building(9),building(84),building(158),building(155)]",0.205
764,,607.671916338004,606.596937287133,0,,RH,398521174,"rgb (0, 255, 0,255)",nil,true,22,"[building(159),building(156),building(3),building(14)]","[building(14),building(156),building(159),building(3)]",0.205
764,,544.166929827799,624.56314293365,0,,RH,398521175,"rgb (0, 255, 0,255)",nil,true,23,"[building(158),building(84),building(153)]","[building(153),building(84),building(158)]",0.155
764,,616.686012104998,604.913049486931,0,,RH,398521176,"rgb (0, 255, 0,255)",nil,true,20,"[building(159),building(14),building(154)]","[building(14),building(159),building(154)]",0.155
764,,490.725225285249,542.042890711222,0,,RH,398521177,"rgb (0, 255, 0,255)",nil,true,68,"[building(27),building(168)]","[building(168),building(27)]",0.105
764,,548.859046364669,632.568721890217,0,,RH,398521178,"rgb (0, 255, 0,255)",nil,true,21,"[building(84),building(155),building(153)]","[building(153),building(84),building(155)]",0.155
764,,625.700107871991,603.229161322583,0,,RH,398521179,"rgb (0, 255, 0,255)",nil,true,21,"[building(14),building(154),building(156)]","[building(14),building(156),building(154)]",0.155
764,,589.49900946609,649.302875510883,0,,RH,398521180,"rgb (0, 255, 0,255)",nil,true,44,"[building(163),building(17),building(161)]","[building(17),building(163),building(161)]",0.155
764,,598.560416016582,647.618996850448,0,,RH,398521181,"rgb (0, 255, 0,255)",nil,true,38,"[building(164),building(163),building(17),building(160)]","[building(17),building(163),building(160),building(164)]",0.205
764,,542.511052402231,547.8081114206,0,,RH,398521182,"rgb (0, 255, 0,255)",nil,true,55,"[building(12),building(169),building(167)]","[building(169),building(12),building(167)]",0.155
764,,607.621822567133,645.935117832851,0,,RH,398521183,"rgb (0, 255, 0,255)",nil,true,34,"[building(165),building(17),building(160),building(164),building(161)]","[building(17),building(161),building(160),building(165),building(164)]",0.255
764,,625.672277999227,642.586385707138,0,,RH,398521184,"rgb (0, 255, 0,255)",nil,true,55,"[building(161),building(165),building(166),building(8),building(163)]","[building(163),building(161),building(165),building(166),building(8)]",0.255
764,,634.683590778965,640.988126639975,0,,RH,398521185,"rgb (0, 255, 0,255)",nil,true,44,"[building(166),building(163),building(8),building(164)]","[building(163),building(164),building(166),building(8)]",0.205
764,,643.694903558702,639.399380697869,0,,RH,398521186,"rgb (0, 255, 0,255)",nil,true,68,"[building(165),building(8),building(164)]","[building(165),building(164),building(8)]",0.155
764,,547.158641142829,555.637767820153,0,,RH,398521187,"rgb (0, 255, 0,255)",nil,true,63,"[building(12),building(169),building(162)]","[building(169),building(12),building(162)]",0.155
764,,501.869419508544,556.346527119726,0,,RH,398521188,"rgb (0, 255, 0,255)",nil,true,31,"[building(170),building(157),building(27)]","[building(170),building(27),building(157)]",0.155
764,,551.800663908885,563.472173194168,0,,RH,398521189,"rgb (0, 255, 0,255)",nil,true,40,"[building(162),building(12),building(171),building(167)]","[building(171),building(12),building(162),building(167)]",0.205
764,,512.246993505221,575.795371214549,0,,RH,398521190,"rgb (0, 255, 0,255)",nil,true,25,"[building(168),building(149),building(151),building(9)]","[building(9),building(151),building(149),building(168)]",0.205
764,,563.239854782796,582.428833468817,0,,RH,398521191,"rgb (0, 255, 0,255)",nil,true,23,"[building(150),building(3),building(152),building(169)]","[building(3),building(150),building(152),building(169)]",0.205
764,,148.107209716435,671.063879292831,0,,SON,437558654,"rgb (0, 255, 0,255)",nil,true,27,[],[],0.005
