cycle;name;location.x;location.y;location.z;name;type;id;color;line;connected;momentToConnect;neighbors;connected_neighbors;individual_chance_to_connect
764;;699.3101211590401;727.6694272954483;0.0;;MFH;167317658;rgb (0, 255, 0,255);nil;true;331;[building(58)];[building(58)];0.055
764;;215.9247133001336;509.82037185830995;0.0;;EFH;167317659;rgb (0, 255, 0,255);nil;true;24;[building(103),building(65),building(101),building(59)];[building(103),building(101),building(59),building(65)];0.20500000000000002
764;;633.556480934727;798.4626504459884;0.0;;EFH;167317660;rgb (0, 255, 0,255);nil;true;55;[building(92)];[building(92)];0.055
764;;553.6290865451447;640.5267254814971;0.0;;RH;167317663;rgb (0, 255, 0,255);nil;true;20;[building(155),building(153),building(17),building(158)];[building(153),building(158),building(155),building(17)];0.20500000000000002
764;;361.7059354557714;646.6391094494611;0.0;;EFH;167317664;rgb (0, 255, 0,255);nil;true;40;[building(121),building(60),building(73),building(131)];[building(131),building(121),building(60),building(73)];0.20500000000000002
764;;287.9150279960886;437.5118725942448;0.0;;EFH;167317665;rgb (0, 255, 0,255);nil;true;41;[building(67)];[building(67)];0.055
764;;347.98024224094115;1104.417321995832;0.0;;EFH;167317666;rgb (0, 255, 0,255);nil;true;1;[building(72),building(74)];[building(72),building(74)];0.10500000000000001
764;;183.7160884313984;549.7897826083005;0.0;;MFH;167317667;rgb (0, 255, 0,255);nil;true;79;[building(108),building(77)];[building(108),building(77)];0.10500000000000001
764;;725.3268776510668;958.906835344038;0.0;;SON;167317668;rgb (0, 255, 0,255);nil;true;97;[building(70),building(90)];[building(90),building(70)];0.10500000000000001
764;;721.122062185104;922.6058721072972;0.0;;EFH;167317669;rgb (0, 255, 0,255);nil;true;86;[building(66),building(70),building(89)];[building(66),building(89),building(70)];0.15500000000000003
764;;711.8580541611882;831.4355308834463;0.0;;EFH;167317671;rgb (0, 255, 0,255);nil;true;32;[building(79),building(113)];[building(79),building(113)];0.10500000000000001
764;;619.3181614648086;783.5420435050503;0.0;;EFH;167317672;rgb (0, 255, 0,255);nil;true;53;[building(83),building(115)];[building(115),building(83)];0.10500000000000001
764;;410.0108020956395;1085.860512751527;0.0;;EFH;167317673;rgb (0, 255, 0,255);nil;true;73;[building(54)];[building(54)];0.055
764;;415.1181403333321;633.6875024108216;0.0;;EFH;167317674;rgb (0, 255, 0,255);nil;true;22;[building(112),building(69)];[building(112),building(69)];0.10500000000000001
764;;287.131895378395;544.557324929908;0.0;;EFH;167317675;rgb (0, 255, 0,255);nil;true;163;[building(111)];[building(111)];0.055
764;;208.54478765800596;707.0853794269264;0.0;;MFH;167317676;rgb (0, 255, 0,255);nil;true;115;[];[];0.005
764;;289.6054144638125;490.10148791950195;0.0;;MFH;167317677;rgb (0, 255, 0,255);nil;true;6;[building(110),building(67)];[building(110),building(67)];0.10500000000000001
764;;560.2520396499197;741.9498949080705;0.0;;EFH;167317678;rgb (0, 255, 0,255);nil;true;45;[building(114)];[building(114)];0.055
764;;587.4985982164974;1035.5751109307632;0.0;;EFH;167317680;rgb (0, 255, 0,255);nil;true;763;[];[];0.005
764;;320.267255007918;565.4681107506156;0.0;;EFH;167317682;rgb (0, 255, 0,255);nil;true;154;[building(111)];[building(111)];0.055
764;;201.0552123174537;508.05940183773635;0.0;;EFH;167317683;rgb (0, 255, 0,255);nil;true;25;[building(82),building(59)];[building(82),building(59)];0.10500000000000001
764;;481.7339500137605;684.8583174500615;0.0;;EFH;167317684;rgb (0, 255, 0,255);nil;true;9;[building(116),building(107),building(119)];[building(116),building(107),building(119)];0.15500000000000003
764;;250.57457460195292;505.9778260985389;0.0;;EFH;167317685;rgb (0, 255, 0,255);nil;true;23;[building(65),building(110),building(82)];[building(82),building(110),building(65)];0.15500000000000003
764;;310.5156676144938;607.6950650558408;0.0;;EFH;167317688;rgb (0, 255, 0,255);nil;true;75;[building(109),building(56)];[building(56),building(109)];0.10500000000000001
764;;169.50912395150712;614.3218781626783;0.0;;SON;167317689;rgb (0, 255, 0,255);nil;true;132;[building(63)];[building(63)];0.055
764;;163.26224519312382;493.38558535945293;0.0;;EFH;167317690;rgb (0, 255, 0,255);nil;true;28;[building(59)];[building(59)];0.055
764;;464.5243278022196;668.8402809789404;0.0;;EFH;167317698;rgb (0, 255, 0,255);nil;true;10;[building(102),building(75),building(116)];[building(116),building(102),building(75)];0.15500000000000003
764;;206.65458270428158;555.9850099729374;0.0;;MFH;167317699;rgb (0, 255, 0,255);nil;true;69;[building(63),building(88)];[building(88),building(63)];0.10500000000000001
764;;294.9995859227104;593.4302576232391;0.0;;EFH;167317700;rgb (0, 255, 0,255);nil;true;93;[building(104),building(118)];[building(104),building(118)];0.10500000000000001
764;;269.80056385682354;496.03989890714485;0.0;;EFH;167317701;rgb (0, 255, 0,255);nil;true;24;[building(97),building(103)];[building(97),building(103)];0.10500000000000001
764;;300.19635081793723;554.5104108445036;0.0;;EFH;167317704;rgb (0, 255, 0,255);nil;true;153;[building(100),building(95)];[building(100),building(95)];0.10500000000000001
764;;429.0709253093034;639.7894311964823;0.0;;EFH;167317706;rgb (0, 255, 0,255);nil;true;17;[building(75),building(94)];[building(75),building(94)];0.10500000000000001
764;;677.2039256123632;822.0205948191384;0.0;;E-MG;167317709;rgb (0, 255, 0,255);nil;true;59;[building(91)];[building(91)];0.055
